job_id,company,job-title,level,long_url
3849464489,Ministry of Manpower,"Statistical Specialist, Data Collection - MRSD",Entry level,https://sg.linkedin.com/jobs/view/intern-data-engineering-at-synpulse-3849057918?position=4&pageNum=30&refId=wavWKm2IzS1FDxReYGnlaQ%3D%3D&trackingId=BobeHBzuDnet193gabo1JQ%3D%3D&trk=public_jobs_jserp-result_search-card
3849057918,Synpulse,Intern - Data Engineering,Internship,https://sg.linkedin.com/jobs/view/data-engineer-at-unison-consulting-3823603450?position=5&pageNum=30&refId=wavWKm2IzS1FDxReYGnlaQ%3D%3D&trackingId=vMm0VqkRexRShITE23lSCQ%3D%3D&trk=public_jobs_jserp-result_search-card
3823603450,Unison Consulting,Data Engineer,Entry level,https://sg.linkedin.com/jobs/view/aug-sept-2024-data-analyst-healthtech-associate-programme-at-synapxe-3798545097?position=6&pageNum=30&refId=wavWKm2IzS1FDxReYGnlaQ%3D%3D&trackingId=nYMGDQbSbI5494IgxZUUOA%3D%3D&trk=public_jobs_jserp-result_search-card
3798545097,Synapxe,Aug/Sept 2024 Data Analyst (HealthTech Associate Programme),Entry level,https://sg.linkedin.com/jobs/view/q-quant-analyst-at-rgf-professional-recruitment-3837479833?position=8&pageNum=30&refId=wavWKm2IzS1FDxReYGnlaQ%3D%3D&trackingId=1yN10OtF2mt%2BCIYO7%2Fuwzw%3D%3D&trk=public_jobs_jserp-result_search-card
3837479833,RGF Professional Recruitment,Q-Quant Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/quantitative-researcher-at-worldquant-3567211189?position=10&pageNum=30&refId=wavWKm2IzS1FDxReYGnlaQ%3D%3D&trackingId=17IBBifgA9%2BzVDGqFQxjJg%3D%3D&trk=public_jobs_jserp-result_search-card
3747026637,,,,
3567211189,WorldQuant,Quantitative Researcher,Mid-Senior level,
3800210660,,,,https://sg.linkedin.com/jobs/view/insights-specialist-at-castlery-3800210660?position=1&pageNum=32&refId=QXrl1lWKsJ7x4tr9h0ennw%3D%3D&trackingId=z3fugII73cs1pkNmsFVTCw%3D%3D&trk=public_jobs_jserp-result_search-card
3815376174,Unison Consulting,Data Engineer(Python & Pyspark),Entry level,https://sg.linkedin.com/jobs/view/data-engineer-python-pyspark-at-unison-consulting-3815376174?position=2&pageNum=32&refId=QXrl1lWKsJ7x4tr9h0ennw%3D%3D&trackingId=tya5e7aG37UACnf3gM8neg%3D%3D&trk=public_jobs_jserp-result_search-card
3866933802,Horangi Cyber Security - a Bitdefender company,Junior IT Engineer,Entry level,https://sg.linkedin.com/jobs/view/junior-it-engineer-at-horangi-cyber-security-a-bitdefender-company-3866933802?position=3&pageNum=32&refId=QXrl1lWKsJ7x4tr9h0ennw%3D%3D&trackingId=Eu%2FNf7guhQ93KsufO0ph6w%3D%3D&trk=public_jobs_jserp-result_search-card
